name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-10-30,11.9,7.9,10.1,11.9,6,9.3,7.9,86.5,5.65,100,29.17,rain,0,0,45.2,24.1,199.1,995.1,50.8,12.7,62.4,5.4,4,,2021-10-30T08:00:28,2021-10-30T17:46:47,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-31,12.2,8,10.7,12.2,5.5,9.9,7.4,80.8,14.04,100,45.83,rain,0,0,61.4,33.8,198.6,990.2,67.1,11.7,63.5,5.6,3,,2021-10-31T07:02:13,2021-10-31T16:44:57,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-01,9.4,6.5,7.9,7.2,3.9,5.2,5.8,87.2,3.02,100,29.17,rain,0,0,53.5,33.5,235.2,994,49.1,12,39.9,3.5,3,,2021-11-01T07:03:59,2021-11-01T16:43:08,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-02,9.4,4.4,6.6,8.6,2.2,5.2,4.5,86.7,0.67,100,16.67,rain,0,0,19.1,11.8,260.7,998.7,27.2,11.7,63.7,5.5,3,,2021-11-02T07:05:45,2021-11-02T16:41:21,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,C2888,EGGD"
bristol,2021-11-03,9.8,2.5,6.1,7.3,0.2,4.1,4.1,87.5,0.08,100,8.33,rain,0,0,33.5,19.1,337.6,1005.4,58.2,12,54.9,4.7,3,,2021-11-03T07:07:31,2021-11-03T16:39:36,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-04,9,3.6,6.1,6.5,1.3,3.5,2.2,76.7,0,0,0,,0,0,34.2,23.4,336.1,1016.9,38.3,14.3,76.7,6.5,3,,2021-11-04T07:09:17,2021-11-04T16:37:52,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-05,10.9,1.8,7,10.9,-1.2,5.4,5,86.8,0,0,0,,0,0,16.9,15.1,267.8,1026.6,71.3,11.5,59.8,5.1,3,,2021-11-05T07:11:03,2021-11-05T16:36:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-06,12,9,10.3,12,6.3,9.2,8.9,91.6,0.36,100,29.17,rain,0,0,52,32.3,238.6,1024.8,96.2,9.4,27.3,2.3,1,,2021-11-06T07:12:49,2021-11-06T16:34:29,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-07,11.1,4.9,8.3,11.1,3.1,6.3,5.4,82.4,0.57,100,4.17,rain,0,0,41.4,28.3,275.7,1022.9,19.3,11.5,61.3,5.3,3,,2021-11-07T07:14:34,2021-11-07T16:32:51,0.05,Rain,Clear conditions throughout the day with early morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-08,11.9,4.8,9.1,11.9,2.6,8.3,7.6,90.6,0.15,100,12.5,rain,0,0,18.7,13.3,224.3,1023.3,73.2,9.5,27.7,2.4,2,,2021-11-08T07:16:20,2021-11-08T16:31:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D1143,D9855,03740099999,EGGD"
